elo_bin_20,match_pattern,stronger_goals,weaker_goals,probability
40.0,WEAKER_WIN,0,3,0.06680584551148225
40.0,WEAKER_WIN,2,3,0.04175365344467641
40.0,WEAKER_WIN,0,4,0.020876826722338204
40.0,WEAKER_WIN,1,4,0.020876826722338204
40.0,WEAKER_WIN,2,4,0.018789144050104383
40.0,WEAKER_WIN,3,4,0.014613778705636743
40.0,WEAKER_WIN,0,5,0.010438413361169102
40.0,WEAKER_WIN,1,5,0.006263048016701462
40.0,WEAKER_WIN,1,7,0.0020876826722338203
40.0,WEAKER_WIN,2,5,0.0020876826722338203
60.0,DRAW,1,1,0.43067226890756305
60.0,DRAW,0,0,0.36134453781512604
60.0,DRAW,2,2,0.1869747899159664
60.0,DRAW,3,3,0.02100840336134454
60.0,STRONGER_WIN,1,0,0.29343629343629346
60.0,STRONGER_WIN,2,0,0.19433719433719435
60.0,STRONGER_WIN,2,1,0.17374517374517376
60.0,STRONGER_WIN,3,1,0.09137709137709138
60.0,STRONGER_WIN,3,0,0.06563706563706563
60.0,STRONGER_WIN,3,2,0.04247104247104247
60.0,STRONGER_WIN,4,0,0.03861003861003861
60.0,STRONGER_WIN,4,1,0.028314028314028315
60.0,STRONGER_WIN,5,0,0.018018018018018018
60.0,STRONGER_WIN,4,2,0.01287001287001287
60.0,STRONGER_WIN,5,1,0.01287001287001287
60.0,STRONGER_WIN,6,1,0.006435006435006435
60.0,STRONGER_WIN,5,2,0.005148005148005148
60.0,STRONGER_WIN,6,2,0.003861003861003861
60.0,STRONGER_WIN,4,3,0.002574002574002574
60.0,STRONGER_WIN,5,3,0.002574002574002574
60.0,STRONGER_WIN,6,0,0.002574002574002574
60.0,STRONGER_WIN,5,4,0.001287001287001287
60.0,STRONGER_WIN,8,0,0.001287001287001287
60.0,STRONGER_WIN,8,2,0.001287001287001287
60.0,STRONGER_WIN,9,2,0.001287001287001287
60.0,WEAKER_WIN,0,1,0.33569739952718675
60.0,WEAKER_WIN,1,2,0.2553191489361702
60.0,WEAKER_WIN,0,2,0.15602836879432624
60.0,WEAKER_WIN,1,3,0.06619385342789598
60.0,WEAKER_WIN,0,3,0.05673758865248227
60.0,WEAKER_WIN,2,3,0.05673758865248227
60.0,WEAKER_WIN,1,4,0.014184397163120567
60.0,WEAKER_WIN,0,4,0.01182033096926714
60.0,WEAKER_WIN,1,5,0.01182033096926714
60.0,WEAKER_WIN,2,4,0.01182033096926714
60.0,WEAKER_WIN,3,4,0.009456264775413711
60.0,WEAKER_WIN,2,5,0.004728132387706856
60.0,WEAKER_WIN,0,5,0.002364066193853428
60.0,WEAKER_WIN,0,6,0.002364066193853428
60.0,WEAKER_WIN,1,6,0.002364066193853428
60.0,WEAKER_WIN,1,7,0.002364066193853428
80.0,DRAW,1,1,0.44772727272727275
80.0,DRAW,0,0,0.3886363636363636
80.0,DRAW,2,2,0.1431818181818182
80.0,DRAW,3,3,0.015909090909090907
80.0,DRAW,4,4,0.004545454545454545
80.0,STRONGER_WIN,1,0,0.2662162162162162
80.0,STRONGER_WIN,2,0,0.19594594594594594
80.0,STRONGER_WIN,2,1,0.16891891891891891
80.0,STRONGER_WIN,3,1,0.09054054054054055
80.0,STRONGER_WIN,3,0,0.08783783783783784
80.0,STRONGER_WIN,4,0,0.04864864864864865
80.0,STRONGER_WIN,3,2,0.031081081081081083
80.0,STRONGER_WIN,4,1,0.02972972972972973
80.0,STRONGER_WIN,4,2,0.02027027027027027
80.0,STRONGER_WIN,5,1,0.014864864864864866
80.0,STRONGER_WIN,6,0,0.013513513513513514
80.0,STRONGER_WIN,5,0,0.010810810810810811
80.0,STRONGER_WIN,4,3,0.006756756756756757
80.0,STRONGER_WIN,5,2,0.002702702702702703
80.0,STRONGER_WIN,6,1,0.002702702702702703
80.0,STRONGER_WIN,6,2,0.002702702702702703
80.0,STRONGER_WIN,7,0,0.002702702702702703
80.0,STRONGER_WIN,5,3,0.0013513513513513514
80.0,STRONGER_WIN,7,1,0.0013513513513513514
80.0,STRONGER_WIN,8,2,0.0013513513513513514
80.0,WEAKER_WIN,0,1,0.3518987341772152
80.0,WEAKER_WIN,1,2,0.21265822784810126
80.0,WEAKER_WIN,0,2,0.17721518987341772
80.0,WEAKER_WIN,2,3,0.07088607594936709
80.0,WEAKER_WIN,0,3,0.06329113924050633
80.0,WEAKER_WIN,1,3,0.05569620253164557
80.0,WEAKER_WIN,1,4,0.030379746835443037
80.0,WEAKER_WIN,2,4,0.012658227848101266
80.0,WEAKER_WIN,0,5,0.010126582278481013
80.0,WEAKER_WIN,3,4,0.005063291139240506
80.0,WEAKER_WIN,0,4,0.002531645569620253
80.0,WEAKER_WIN,0,6,0.002531645569620253
80.0,WEAKER_WIN,1,6,0.002531645569620253
80.0,WEAKER_WIN,2,5,0.002531645569620253
100.0,DRAW,1,1,0.44783715012722647
100.0,DRAW,0,0,0.366412213740458
100.0,DRAW,2,2,0.178117048346056
100.0,DRAW,3,3,0.005089058524173028
100.0,DRAW,4,4,0.002544529262086514
100.0,STRONGER_WIN,1,0,0.2739541160593792
100.0,STRONGER_WIN,2,0,0.20242914979757085
100.0,STRONGER_WIN,2,1,0.17543859649122806
100.0,STRONGER_WIN,3,0,0.09176788124156546
100.0,STRONGER_WIN,3,1,0.06072874493927125
100.0,STRONGER_WIN,3,2,0.044534412955465584
100.0,STRONGER_WIN,4,0,0.04183535762483131
100.0,STRONGER_WIN,4,1,0.03913630229419703
100.0,STRONGER_WIN,4,2,0.02564102564102564
100.0,STRONGER_WIN,5,0,0.017543859649122806
100.0,STRONGER_WIN,5,1,0.008097165991902834
100.0,STRONGER_WIN,6,0,0.005398110661268556
100.0,STRONGER_WIN,5,2,0.004048582995951417
100.0,STRONGER_WIN,6,1,0.002699055330634278
100.0,STRONGER_WIN,4,3,0.001349527665317139
100.0,STRONGER_WIN,5,4,0.001349527665317139
100.0,STRONGER_WIN,6,2,0.001349527665317139
100.0,STRONGER_WIN,7,0,0.001349527665317139
100.0,STRONGER_WIN,8,0,0.001349527665317139
100.0,WEAKER_WIN,0,1,0.33126934984520123
100.0,WEAKER_WIN,1,2,0.25696594427244585
100.0,WEAKER_WIN,0,2,0.15170278637770898
100.0,WEAKER_WIN,1,3,0.09287925696594428
100.0,WEAKER_WIN,0,3,0.05263157894736842
100.0,WEAKER_WIN,2,3,0.04953560371517028
100.0,WEAKER_WIN,1,4,0.02476780185758514
100.0,WEAKER_WIN,2,4,0.015479876160990712
100.0,WEAKER_WIN,0,4,0.009287925696594427
100.0,WEAKER_WIN,0,5,0.0030959752321981426
100.0,WEAKER_WIN,1,5,0.0030959752321981426
100.0,WEAKER_WIN,2,5,0.0030959752321981426
100.0,WEAKER_WIN,3,4,0.0030959752321981426
100.0,WEAKER_WIN,3,5,0.0030959752321981426
120.0,DRAW,1,1,0.4175824175824176
120.0,DRAW,0,0,0.40934065934065933
120.0,DRAW,2,2,0.13736263736263737
120.0,DRAW,3,3,0.03571428571428571
120.0,STRONGER_WIN,1,0,0.26785714285714285
120.0,STRONGER_WIN,2,0,0.1717032967032967
120.0,STRONGER_WIN,2,1,0.15384615384615385
120.0,STRONGER_WIN,3,0,0.10302197802197802
120.0,STRONGER_WIN,3,1,0.09203296703296704
120.0,STRONGER_WIN,3,2,0.04532967032967033
120.0,STRONGER_WIN,4,0,0.04395604395604396
120.0,STRONGER_WIN,4,1,0.03159340659340659
120.0,STRONGER_WIN,4,2,0.0260989010989011
120.0,STRONGER_WIN,5,0,0.01510989010989011
120.0,STRONGER_WIN,5,1,0.013736263736263736
120.0,STRONGER_WIN,6,0,0.008241758241758242
120.0,STRONGER_WIN,5,2,0.005494505494505495
120.0,STRONGER_WIN,4,3,0.004120879120879121
120.0,STRONGER_WIN,6,1,0.004120879120879121
120.0,STRONGER_WIN,6,2,0.004120879120879121
120.0,STRONGER_WIN,7,1,0.0027472527472527475
120.0,STRONGER_WIN,5,3,0.0013736263736263737
120.0,STRONGER_WIN,5,4,0.0013736263736263737
120.0,STRONGER_WIN,7,3,0.0013736263736263737
120.0,STRONGER_WIN,8,1,0.0013736263736263737
120.0,STRONGER_WIN,11,0,0.0013736263736263737
120.0,WEAKER_WIN,0,1,0.3462897526501767
120.0,WEAKER_WIN,1,2,0.22968197879858657
120.0,WEAKER_WIN,0,2,0.16607773851590105
120.0,WEAKER_WIN,2,3,0.07420494699646643
120.0,WEAKER_WIN,1,3,0.0706713780918728
120.0,WEAKER_WIN,0,3,0.04946996466431095
120.0,WEAKER_WIN,2,4,0.02120141342756184
120.0,WEAKER_WIN,0,4,0.01060070671378092
120.0,WEAKER_WIN,3,4,0.01060070671378092
120.0,WEAKER_WIN,1,4,0.007067137809187279
120.0,WEAKER_WIN,1,5,0.007067137809187279
120.0,WEAKER_WIN,0,5,0.0035335689045936395
120.0,WEAKER_WIN,0,6,0.0035335689045936395
140.0,DRAW,1,1,0.4504792332268371
140.0,DRAW,0,0,0.33865814696485624
140.0,DRAW,2,2,0.1853035143769968
140.0,DRAW,3,3,0.025559105431309903
140.0,STRONGER_WIN,1,0,0.24055944055944056
140.0,STRONGER_WIN,2,0,0.18041958041958042
140.0,STRONGER_WIN,2,1,0.16503496503496504
140.0,STRONGER_WIN,3,0,0.11328671328671329
140.0,STRONGER_WIN,3,1,0.08531468531468532
140.0,STRONGER_WIN,4,0,0.04755244755244755
140.0,STRONGER_WIN,3,2,0.032167832167832165
140.0,STRONGER_WIN,4,1,0.03076923076923077
140.0,STRONGER_WIN,4,2,0.02097902097902098
140.0,STRONGER_WIN,5,1,0.016783216783216783
140.0,STRONGER_WIN,5,0,0.013986013986013986
140.0,STRONGER_WIN,6,0,0.011188811188811189
140.0,STRONGER_WIN,4,3,0.006993006993006993
140.0,STRONGER_WIN,5,2,0.006993006993006993
140.0,STRONGER_WIN,6,1,0.006993006993006993
140.0,STRONGER_WIN,5,3,0.004195804195804196
140.0,STRONGER_WIN,7,0,0.004195804195804196
140.0,STRONGER_WIN,7,1,0.002797202797202797
140.0,STRONGER_WIN,8,1,0.002797202797202797
140.0,STRONGER_WIN,5,4,0.0013986013986013986
140.0,STRONGER_WIN,6,2,0.0013986013986013986
140.0,STRONGER_WIN,9,0,0.0013986013986013986
140.0,STRONGER_WIN,10,0,0.0013986013986013986
140.0,STRONGER_WIN,16,0,0.0013986013986013986
140.0,WEAKER_WIN,0,1,0.3382352941176471
140.0,WEAKER_WIN,1,2,0.29411764705882354
140.0,WEAKER_WIN,0,2,0.12254901960784313
140.0,WEAKER_WIN,2,3,0.07352941176470588
140.0,WEAKER_WIN,1,3,0.06862745098039216
140.0,WEAKER_WIN,0,3,0.029411764705882353
140.0,WEAKER_WIN,1,4,0.0196078431372549
140.0,WEAKER_WIN,2,4,0.0196078431372549
140.0,WEAKER_WIN,0,4,0.00980392156862745
140.0,WEAKER_WIN,0,8,0.004901960784313725
140.0,WEAKER_WIN,1,5,0.004901960784313725
140.0,WEAKER_WIN,1,6,0.004901960784313725
140.0,WEAKER_WIN,2,5,0.004901960784313725
140.0,WEAKER_WIN,3,4,0.004901960784313725
160.0,DRAW,1,1,0.4197952218430034
160.0,DRAW,0,0,0.40273037542662116
160.0,DRAW,2,2,0.15699658703071673
160.0,DRAW,3,3,0.020477815699658702
160.0,STRONGER_WIN,1,0,0.25072463768115943
160.0,STRONGER_WIN,2,0,0.1855072463768116
160.0,STRONGER_WIN,2,1,0.16956521739130434
160.0,STRONGER_WIN,3,0,0.09130434782608696
160.0,STRONGER_WIN,3,1,0.0782608695652174
160.0,STRONGER_WIN,4,1,0.0536231884057971
160.0,STRONGER_WIN,4,0,0.05217391304347826
160.0,STRONGER_WIN,3,2,0.0391304347826087
160.0,STRONGER_WIN,5,0,0.015942028985507246
160.0,STRONGER_WIN,4,2,0.011594202898550725
160.0,STRONGER_WIN,5,2,0.008695652173913044
160.0,STRONGER_WIN,6,0,0.008695652173913044
160.0,STRONGER_WIN,6,1,0.008695652173913044
160.0,STRONGER_WIN,5,1,0.005797101449275362
160.0,STRONGER_WIN,4,3,0.002898550724637681
160.0,STRONGER_WIN,5,3,0.002898550724637681
160.0,STRONGER_WIN,7,2,0.002898550724637681
160.0,STRONGER_WIN,6,2,0.0014492753623188406
160.0,STRONGER_WIN,7,1,0.0014492753623188406
160.0,STRONGER_WIN,8,1,0.0014492753623188406
160.0,STRONGER_WIN,9,0,0.0014492753623188406
160.0,STRONGER_WIN,9,1,0.0014492753623188406
160.0,STRONGER_WIN,11,0,0.0014492753623188406
160.0,STRONGER_WIN,13,0,0.0014492753623188406
160.0,STRONGER_WIN,15,0,0.0014492753623188406
160.0,WEAKER_WIN,0,1,0.35071090047393366
160.0,WEAKER_WIN,1,2,0.25118483412322273
160.0,WEAKER_WIN,0,2,0.15165876777251186
160.0,WEAKER_WIN,1,3,0.0995260663507109
160.0,WEAKER_WIN,2,3,0.052132701421800945
160.0,WEAKER_WIN,0,3,0.037914691943127965
160.0,WEAKER_WIN,2,5,0.014218009478672985
160.0,WEAKER_WIN,3,4,0.014218009478672985
160.0,WEAKER_WIN,1,4,0.009478672985781991
160.0,WEAKER_WIN,2,4,0.009478672985781991
160.0,WEAKER_WIN,0,4,0.004739336492890996
160.0,WEAKER_WIN,1,5,0.004739336492890996
180.0,DRAW,1,1,0.46502057613168724
180.0,DRAW,0,0,0.3374485596707819
180.0,DRAW,2,2,0.1728395061728395
180.0,DRAW,3,3,0.024691358024691357
180.0,STRONGER_WIN,1,0,0.24345146379044685
180.0,STRONGER_WIN,2,0,0.16024653312788906
180.0,STRONGER_WIN,2,1,0.14791987673343607
180.0,STRONGER_WIN,3,0,0.12480739599383667
180.0,STRONGER_WIN,3,1,0.07087827426810478
180.0,STRONGER_WIN,4,0,0.06317411402157165
180.0,STRONGER_WIN,4,1,0.05084745762711865
180.0,STRONGER_WIN,3,2,0.02773497688751926
180.0,STRONGER_WIN,5,0,0.01848998459167951
180.0,STRONGER_WIN,4,2,0.015408320493066256
180.0,STRONGER_WIN,5,1,0.015408320493066256
180.0,STRONGER_WIN,6,0,0.01386748844375963
180.0,STRONGER_WIN,5,2,0.009244992295839754
180.0,STRONGER_WIN,6,1,0.009244992295839754
180.0,STRONGER_WIN,4,3,0.007704160246533128
180.0,STRONGER_WIN,7,0,0.0061633281972265025
180.0,STRONGER_WIN,7,1,0.0061633281972265025
180.0,STRONGER_WIN,8,0,0.0030816640986132513
180.0,STRONGER_WIN,5,3,0.0015408320493066256
180.0,STRONGER_WIN,6,2,0.0015408320493066256
180.0,STRONGER_WIN,6,3,0.0015408320493066256
180.0,STRONGER_WIN,8,1,0.0015408320493066256
180.0,WEAKER_WIN,0,1,0.44360902255639095
180.0,WEAKER_WIN,1,2,0.20300751879699247
180.0,WEAKER_WIN,0,2,0.13533834586466165
180.0,WEAKER_WIN,1,3,0.06766917293233082
180.0,WEAKER_WIN,2,3,0.06015037593984962
180.0,WEAKER_WIN,0,3,0.03759398496240601
180.0,WEAKER_WIN,0,4,0.022556390977443608
180.0,WEAKER_WIN,2,4,0.015037593984962405
180.0,WEAKER_WIN,1,4,0.007518796992481203
180.0,WEAKER_WIN,3,4,0.007518796992481203
200.0,DRAW,1,1,0.45595854922279794
200.0,DRAW,0,0,0.36787564766839376
200.0,DRAW,2,2,0.15025906735751296
200.0,DRAW,3,3,0.02072538860103627
200.0,DRAW,4,4,0.0051813471502590676
200.0,STRONGER_WIN,1,0,0.2066115702479339
200.0,STRONGER_WIN,2,0,0.19008264462809918
200.0,STRONGER_WIN,2,1,0.15702479338842976
200.0,STRONGER_WIN,3,0,0.10743801652892562
200.0,STRONGER_WIN,3,1,0.07603305785123966
200.0,STRONGER_WIN,4,0,0.05950413223140496
200.0,STRONGER_WIN,4,1,0.049586776859504134
200.0,STRONGER_WIN,3,2,0.03471074380165289
200.0,STRONGER_WIN,5,0,0.03471074380165289
200.0,STRONGER_WIN,5,1,0.01652892561983471
200.0,STRONGER_WIN,4,2,0.01487603305785124
200.0,STRONGER_WIN,6,0,0.013223140495867768
200.0,STRONGER_WIN,6,1,0.008264462809917356
200.0,STRONGER_WIN,4,3,0.006611570247933884
200.0,STRONGER_WIN,6,2,0.006611570247933884
200.0,STRONGER_WIN,5,2,0.0049586776859504135
200.0,STRONGER_WIN,7,1,0.0049586776859504135
